Town,County,Population,Location,Lat,Lon
"Plum, Allegheny County, Pennsylvania",Allegheny County,"27,126","Plum, Allegheny County, Pennsylvania, USA",40.5003457,-79.7494911
"Easton, Northampton County, Pennsylvania",Northampton County,"26,800","Easton, Northampton County, Pennsylvania, USA",40.6916081,-75.2099866
"Lebanon, Lebanon County, Pennsylvania",Lebanon County,"25,477","Lebanon, Lebanon County, Pennsylvania, USA",40.3429683,-76.4233816
"Hazleton, Luzerne County, Pennsylvania",Luzerne County,"25,340","Hazleton, Luzerne County, Pennsylvania, 18201, USA",40.9646867,-75.9852789
"New Castle, Lawrence County, Pennsylvania",Lawrence County,"23,273","New Castle, Lawrence County, Pennsylvania, 16101, USA",40.9999202,-80.3471856
"Pottstown, Montgomery County, Pennsylvania",Montgomery County,"22,377","Pottstown, Montgomery County, Pennsylvania, USA",40.2452976,-75.6496424
"Allison Park, Allegheny County, Pennsylvania",Allegheny County,"21,552","Allison Park, Allegheny County, Pennsylvania, 15101, USA",40.5584013,-79.9581094
"Johnstown, Cambria County, Pennsylvania",Cambria County,"20,978","Johnstown, Cambria County, Pennsylvania, USA",40.3267407,-78.9219698
"West Mifflin, Allegheny County, Pennsylvania",Allegheny County,"20,313","West Mifflin, Allegheny County, Pennsylvania, USA",40.3634026,-79.8664375
"Chambersburg, Franklin County, Pennsylvania",Franklin County,"20,268","Chambersburg, Franklin County, Pennsylvania, United States of America",39.9405903,-77.6598624
"Murrysville, Westmoreland County, Pennsylvania",Westmoreland County,"20,079","Murrysville, Westmoreland County, Pennsylvania, USA",40.4284015,-79.697545
"King of Prussia, Montgomery County, Pennsylvania",Montgomery County,"19,936","King of Prussia, Montgomery County, Pennsylvania, USA",40.0908111,-75.3832484
"Baldwin, Allegheny County, Pennsylvania",Allegheny County,"19,767","Baldwin, Allegheny County, Pennsylvania, 15236, USA",40.3381252,-79.9789405
"McKeesport, Allegheny County, Pennsylvania",Allegheny County,"19,731","McKeesport, Allegheny County, Pennsylvania, 15132, USA",40.3478472,-79.864215
"Upper St. Clair, Allegheny County, Pennsylvania",Allegheny County,"19,229","Upper St. Clair, Allegheny County, Pennsylvania, 15241, USA",40.3359029,-80.0833881
"Carlisle, Cumberland County, Pennsylvania",Cumberland County,"18,692","Carlisle, Cumberland County, Pennsylvania, 17013, USA",40.201499,-77.1890783
"West Chester, Chester County, Pennsylvania",Chester County,"18,461","West Chester, Chester County, Pennsylvania, 19383, United States of America",39.9597213,-75.6059638
"Phoenixville, Chester County, Pennsylvania",Chester County,"16,440","Phoenixville, Chester County, Pennsylvania, 19460, United States of America",40.1303822,-75.5149128
"Lansdale, Montgomery County, Pennsylvania",Montgomery County,"16,269","Lansdale, Montgomery County, Pennsylvania, 19446, USA",40.2414952,-75.2837862
"Hermitage, Mercer County, Pennsylvania",Mercer County,"16,220","Hermitage, Mercer County, Pennsylvania, USA",41.2333897,-80.44868
"Wilkinsburg, Allegheny County, Pennsylvania",Allegheny County,"15,930","Wilkinsburg, Allegheny County, Pennsylvania, 15221, USA",40.4417355,-79.8819942
"Willow Grove, Montgomery County, Pennsylvania",Montgomery County,"15,726","Willow Grove, Montgomery County, Pennsylvania, 19090, USA",40.1439985,-75.1157286
"Hanover, York County, Pennsylvania",York County,"15,289","Hanover, York County, Pennsylvania, 17331, USA",39.8063247,-76.9842735
"Fullerton, Lehigh County, Pennsylvania",Lehigh County,"14,926","Fullerton, Whitehall, Lehigh County, Pennsylvania, USA",40.63014985,-75.4853745
"Greensburg, Westmoreland County, Pennsylvania",Westmoreland County,"14,892","Greensburg, Westmoreland County, Pennsylvania, USA",40.3014581,-79.5389289
"Bloomsburg, Columbia County, Pennsylvania",Columbia County,"14,855","Bloomsburg, Columbia County, Pennsylvania, USA",41.0044958,-76.4537302
"Horsham, Montgomery County, Pennsylvania",Montgomery County,"14,842","Horsham, Avenue B, Horsham Township, Montgomery County, Pennsylvania, 19044, USA",40.1842455,-75.13905239
"Pottsville, Schuylkill County, Pennsylvania",Schuylkill County,"14,324","Pottsville, Schuylkill County, Pennsylvania, 17901, USA",40.6851324,-76.1953701
"Hershey, Dauphin County, Pennsylvania",Dauphin County,"14,257","Hershey, Dauphin County, Pennsylvania, USA",40.2854881,-76.6506001
"Dunmore, Lackawanna County, Pennsylvania",Lackawanna County,"14,057","Dunmore, Lackawanna County, Pennsylvania, 18512, USA",41.4198027,-75.6324112
"Sharon, Pennsylvania",Mercer County,"14,038","Sharon, Mercer County, Pennsylvania, 16146, USA",41.2331116,-80.4934035
"Indiana, Pennsylvania",Indiana County,"13,975","Indiana, Indiana County, Pennsylvania, USA",40.6214551,-79.1525349
"Whitehall, Pennsylvania",Allegheny County,"13,944","Whitehall, Allegheny County, Pennsylvania, USA",40.3611806,-79.9908855
"Butler, Pennsylvania",Butler County,"13,757","Butler, Butler County, Pennsylvania, USA",40.8610205,-79.8952251
"Washington, Pennsylvania",Washington County,"13,663","Washington County, Pennsylvania, USA",40.1943798,-80.2541251
"Franklin Park, Pennsylvania",Allegheny County,"13,470","Franklin Park, Allegheny County, Pennsylvania, 2573, USA",40.5834009,-80.0878352
"South Park Township, Pennsylvania",Allegheny County,"13,416","South Park Township, Allegheny County, Pennsylvania, 15129, USA",40.3028,-79.9939
"Ephrata, Pennsylvania",Lancaster County,"13,394","Ephrata, Lancaster County, Pennsylvania, 17522, USA",40.1799111,-76.1789242
"Meadville, Pennsylvania",Crawford County,"13,388","Meadville, Crawford County, Pennsylvania, 16335, USA",41.641445,-80.151449
"Colonial Park, Pennsylvania",Dauphin County,"13,229","Colonial Park, Dauphin County, Pennsylvania, USA",40.3006446,-76.8096938
"Kingston, Pennsylvania",Luzerne County,"13,182","Kingston, Luzerne County, Pennsylvania, USA",41.2617481,-75.8968635
"New Kensington, Pennsylvania",Westmoreland County,"13,116","New Kensington, Westmoreland County, Pennsylvania, USA",40.5697893,-79.7647705
"Coatesville, Pennsylvania",Chester County,"13,100","Coatesville, Chester County, Pennsylvania, 19320, USA",39.9831616,-75.8238355
"St. Marys, Pennsylvania",Elk County,"13,070","Saint Marys, Elk County, Pennsylvania, United States of America",41.4280432,-78.5611275
"Weigelstown, Pennsylvania",York County,"12,875","Weigelstown, York County, Pennsylvania, USA",39.9837084,-76.8224701
"Montgomeryville, Pennsylvania",Bucks County,"12,624","Montgomeryville, Manor Drive, Remington Oaks, New Britain Township, Bucks County, Pennsylvania, 18914, USA",40.2498255,-75.23850066
"Ardmore, Pennsylvania",Delaware County,"12,455","Ardmore, Valley View Road, Haverford Township, Delaware County, Pennsylvania, 19003, USA",40.004128,-75.28830064
"Fernway, Pennsylvania",Butler County,"12,414","Fernway, Cranberry Township, Butler County, Pennsylvania, 16066, USA",40.6976475,-80.13354086
"Lower Burrell, Pennsylvania",Westmoreland County,"11,761","Lower Burrell, Westmoreland County, Pennsylvania, 15068, USA",40.5882821,-79.7298187
"Elizabethtown, Pennsylvania",Lancaster County,"11,545","Elizabethtown, Lancaster County, Pennsylvania, 17022, USA",40.153364,-76.6042521
"Yeadon, Pennsylvania",Delaware County,"11,443","Yeadon, Delaware County, Pennsylvania, 19142:19143, USA",39.9390017,-75.2554605
"Munhall, Pennsylvania",Allegheny County,"11,406","Munhall, Allegheny County, Pennsylvania, USA",40.3922914,-79.9000499
"Carnot-Moon, Pennsylvania",Allegheny County,"11,372","Carnot-Moon, Moon Township, Allegheny County, Pennsylvania, USA",40.5203625,-80.21794389
"Shiloh, Pennsylvania",York County,"11,218","Shiloh, York County, Pennsylvania, USA",39.9761965,-76.7927496
"Emmaus, Pennsylvania",Lehigh County,"11,211","Emmaus, Lehigh County, Pennsylvania, 18049, USA",40.5395421,-75.4968502
"Mountain Top, Pennsylvania",Luzerne County,"10,982","Mountain Top, Luzerne County, Pennsylvania, USA",41.1224535,-75.96386096
"Broomall, Pennsylvania",Delaware County,"10,789","Broomall, Dermond Road, Haverford Township, Delaware County, Pennsylvania, 19026, USA",39.9689505,-75.35289823
"Darby, Pennsylvania",Delaware County,"10,687","Darby, Delaware County, Pennsylvania, 19023, USA",39.9184461,-75.2590721
"Lansdowne, Pennsylvania",Delaware County,"10,620","Lansdowne, Delaware County, Pennsylvania, USA",39.9381682,-75.2718507
"Jefferson Hills, Pennsylvania",Allegheny County,"10,619","Jefferson Hills, Allegheny County, Pennsylvania, 15025, USA",40.2911809,-79.9319942
"Waynesboro, Pennsylvania",Franklin County,"10,568","Waynesboro, Franklin County, Pennsylvania, USA",39.7557827,-77.5776512
"Oil City, Pennsylvania",Venango County,"10,557","Oil City, Venango County, Pennsylvania, USA",41.433948,-79.706441
"Berwick, Pennsylvania",Columbia County,"10,477","Berwick, Columbia County, Pennsylvania, 18603, USA",41.0602024,-76.2461259
"Nanticoke, Pennsylvania",Luzerne County,"10,465","Nanticoke, Luzerne County, Pennsylvania, 18634, USA",41.2052654,-76.0049353
"Wyomissing, Pennsylvania",Berks County,"10,461","Wyomissing, Berks County, Pennsylvania, 19610, USA",40.329537,-75.9652117
"Columbia, Pennsylvania",Lancaster County,"10,400","Columbia, Lancaster County, Pennsylvania, 17512, USA",40.032089,-76.5016402
