Town,County,Population,Location,Lat,Lon
"Kulpsville, Pennsylvania",Montgomery County,"8,194","Kulpsville, Continental Drive, Towamencin Township, Montgomery County, Pennsylvania, 19438, USA",40.2447855,-75.34348586
"Millersville, Pennsylvania",Lancaster County,"8,168","Millersville, Lancaster County, Pennsylvania, USA",39.997998,-76.3545372
"Brookhaven, Pennsylvania",Delaware County,"8,006","Brookhaven, Delaware County, Pennsylvania, 19015, USA",39.8693003,-75.3823039
"Carnegie, Pennsylvania",Allegheny County,"7,972","Carnegie, Allegheny County, Pennsylvania, 15106, USA",40.4086802,-80.0833885
"Ellwood City, Pennsylvania",Lawrence County,"7,921","Ellwood City, Lawrence County, Pennsylvania, USA",40.8617303,-80.2864515
"Wilson, Pennsylvania",Allegheny County,"7,896","Wilson, South Park Township, Allegheny County, Pennsylvania, 15129, USA",40.3148114,-79.9828087
"Downingtown, Pennsylvania",Chester County,"7,891","Downingtown, Chester County, Pennsylvania, USA",40.0064958,-75.7032742
"Camp Hill, Pennsylvania",Cumberland County,"7,888","Camp Hill, Cumberland County, Pennsylvania, USA",40.2398118,-76.9199742
"White Oak, Pennsylvania",Allegheny County,"7,862","White Oak, Allegheny County, Pennsylvania, 15131, USA",40.3375695,-79.8092133
"Conshohocken, Pennsylvania",Montgomery County,"7,833","Conshohocken, Montgomery County, Pennsylvania, 19428, USA",40.0792766,-75.3015714
"Village Green-Green Ridge, Pennsylvania",Delaware County,"7,822","Village Green-Green Ridge, Bender Drive, Twin Oaks, Upper Chichester Township, Delaware County, Pennsylvania, 19014, USA",39.8625825,-75.42637026
"DuBois, Pennsylvania",Clearfield County,"7,794","DuBois, Clearfield County, Pennsylvania, 15801, USA",41.118651,-78.7622342
"Pittston, Pennsylvania",Luzerne County,"7,739","Pittston, Luzerne County, Pennsylvania, USA",41.3259134,-75.7893604
"Monessen, Pennsylvania",Westmoreland County,"7,720","Monessen, Westmoreland County, Pennsylvania, 15062, USA",40.1484053,-79.8878254
"Connellsville, Pennsylvania",Fayette County,"7,637","Connellsville, Fayette County, Pennsylvania, 15425-4021, USA",40.0178522,-79.5894828
"Gettysburg, Pennsylvania",Adams County,"7,620","Gettysburg, Adams County, Pennsylvania, United States of America",39.8309417,-77.2311047
"Willow Street, Pennsylvania",Lancaster County,"7,578","Willow Street, Lancaster County, Pennsylvania, USA",39.9792659,-76.2763474
"Middletown, Pennsylvania",Dauphin County,"7,441","Middletown, Dauphin County, Pennsylvania, 17057, USA",40.1997955,-76.7310903
"Mount Joy, Pennsylvania",Lancaster County,"7,410","Mount Joy, Lancaster County, Pennsylvania, 17552, USA",40.1098561,-76.5033406
"Shamokin, Pennsylvania",Northumberland County,"7,374","Shamokin, Northumberland County, Pennsylvania, USA",40.7887609,-76.5585175
"Hatboro, Pennsylvania",Montgomery County,"7,360","Hatboro, Montgomery County, Pennsylvania, 19040, USA",40.1746252,-75.106825
"Palmyra, Pennsylvania",Lebanon County,"7,320","Palmyra, Lebanon County, Pennsylvania, USA",40.3088578,-76.5932369
"New Cumberland, Pennsylvania",Cumberland County,"7,277","New Cumberland, Cumberland County, Pennsylvania, USA",40.2323122,-76.8846956
"Leola, Pennsylvania",Lancaster County,"7,214","Leola, Lancaster County, Pennsylvania, 17540, USA",40.087875,-76.1849534
"Glenolden, Pennsylvania",Delaware County,"7,153","Glenolden, Delaware County, Pennsylvania, 19036, USA",39.9001126,-75.2890745
"Blandon, Pennsylvania",Berks County,"7,152","Blandon, Berks County, Pennsylvania, 19510, USA",40.4412047,-75.886871
"Tamaqua, Pennsylvania",Schuylkill County,"7,107","Tamaqua, Schuylkill County, Pennsylvania, 18252, USA",40.7974296,-75.9696186
"Huntingdon, Pennsylvania",Huntingdon County,"7,093","Huntingdon County, Pennsylvania, United States of America",40.3446332,-78.0281185
"Ambridge, Pennsylvania",Beaver County,"7,050","Ambridge, Beaver County, Pennsylvania, USA",40.5892339,-80.22506
"Milton, Pennsylvania",Northumberland County,"7,042","Milton, Northumberland County, Pennsylvania, 17847, USA",41.0177269,-76.853084
