Town,Per capita income,Location,Lat,Lon,County
"Bay Head, Ocean County, New Jersey","$49,639 ","Bay Head, Ocean County, New Jersey, NJ 08742, USA",40.0717828,-74.0543036,Ocean County
"Warren Township, Somerset County, New Jersey","$49,475 ","Warren Township, Somerset County, New Jersey, USA",40.6306575,-74.52266908,Somerset County
"Wyckoff, Bergen County, New Jersey","$49,375 ","Wyckoff, Bergen County, New Jersey, USA",41.0095417,-74.1729222,Bergen County
"Rockleigh, Bergen County, New Jersey","$48,935 ","Rockleigh, Bergen County, New Jersey, USA",41.0003754,-73.9304141,Bergen County
"Montgomery Township, Somerset County, New Jersey","$48,699 ","Montgomery Township, Somerset County, New Jersey, USA",40.423478,-74.68626033,Somerset County
"Mendham, Morris County, New Jersey","$48,629 ","Mendham, Morris County, New Jersey, 07945, USA",40.7759334,-74.6007142,Morris County
"West Windsor Township, Mercer County, New Jersey","$48,511 ","West Windsor Township, Mercer County, New Jersey, 08550, USA",40.296321,-74.62610307,Mercer County
"Glen Ridge, Essex County, New Jersey","$48,456 ","Glen Ridge, Essex County, New Jersey, 07028, USA",40.805378,-74.2037566,Essex County
"Old Tappan, Bergen County, New Jersey","$48,367 ","Old Tappan, Bergen County, New Jersey, USA",41.0106971,-73.9911073,Bergen County
"Rocky Hill, Somerset County, New Jersey","$48,357 ","Rocky Hill, Somerset County, New Jersey, 08553, USA",40.3998283,-74.6343244,Somerset County
"North Caldwell, Essex County, New Jersey","$48,249 ","North Caldwell, Essex County, New Jersey, USA",40.8648215,-74.2582027,Essex County
"Holmdel Township, Monmouth County, New Jersey","$47,898 ","Holmdel Township, Monmouth County, New Jersey, 07733, USA",40.375658,-74.17592969,Monmouth County
"Allendale, Bergen County, New Jersey","$47,772 ","Allendale, Bergen County, New Jersey, USA",41.0414858,-74.129032,Bergen County
"Mountainside, Union County, New Jersey","$47,474 ","Mountainside, Union County, New Jersey, 07092, USA",40.6723242,-74.3573722,Union County
"Interlaken, Monmouth County, New Jersey","$47,218 ","Interlaken, Monmouth County, New Jersey, 07711, USA",40.2334459,-74.015693,Monmouth County
"Livingston, Essex County, New Jersey","$47,218 ","Livingston, Essex County, New Jersey, 07039, USA",40.7959335,-74.3148713,Essex County
"Westfield, Union County, New Jersey","$47,187 ","Westfield, Union County, New Jersey, 07090, USA",40.6589912,-74.3473717,Union County
"Little Silver, Monmouth County, New Jersey","$46,798 ","Little Silver, Monmouth County, New Jersey, 07739, USA",40.3367769,-74.0470837,Monmouth County
"Colts Neck Township, Monmouth County, New Jersey","$46,795 ","Colts Neck Township, Monmouth County, New Jersey, 07722, USA",40.2971915,-74.16597305,Monmouth County
"Stone Harbor, Cape May County, New Jersey","$46,427 ","Stone Harbor, Cape May County, New Jersey, 08247, USA",39.0509468,-74.7579418,Cape May County
"Pennington, Mercer County, New Jersey","$45,843 ","Pennington, Mercer County, New Jersey, USA",40.3284403,-74.790718,Mercer County
