Town,Per capita income,Location,Lat,Lon,County
"Clinton Township, New Jersey","$37,264 ","Clinton Township, Hunterdon County, New Jersey, USA",40.63378,-74.8503141,Hunterdon County
"East Amwell Township, New Jersey","$37,187 ","East Amwell Township, Hunterdon County, New Jersey, 08551, USA",40.434946,-74.83010115,Hunterdon County
"Sparta Township, New Jersey","$36,910 ","Sparta, Sussex County, New Jersey, 07871, USA",41.0401567,-74.6310081,Sussex County
"Long Valley, New Jersey","$36,711 ","Long Valley, Morris County, New Jersey, 07853, USA",40.7859331,-74.7801645,Morris County
"Morris Plains, New Jersey","$36,553 ","Morris Plains, Morris County, New Jersey, 07950, USA",40.8364845,-74.47818854,Morris County
"Lambertville, New Jersey","$36,267 ","Lambertville, Hunterdon County, New Jersey, 08530:18938, USA",40.3659394,-74.9429448,Hunterdon County
"Bethlehem Township, New Jersey","$35,298 ","Bethlehem Township, Hunterdon County, New Jersey, USA",40.66859885,-75.01027786,Hunterdon County
"Alexandria Township, New Jersey","$34,622 ","Alexandria Township, Hunterdon County, New Jersey, 08867, USA",40.591754,-75.01350455,Hunterdon County
"Lebanon, New Jersey","$34,066 ","Lebanon, Hunterdon County, New Jersey, USA",40.6417683,-74.8359987,Hunterdon County
"West Amwell Township, New Jersey","$33,877 ","West Amwell Township, Hunterdon County, New Jersey, 08530, USA",40.3821838,-74.88720903,Hunterdon County
"Rockaway Township, New Jersey","$33,184 ","Rockaway Township, Morris County, New Jersey, USA",40.9613178,-74.49224451,Morris County
"Hillsborough Township, New Jersey","$33,091 ","Hillsborough Township, Somerset County, New Jersey, USA",40.498516,-74.69516247,Somerset County
"White Meadow Lake, New Jersey","$32,596 ","White Meadow Lake, Morris County, New Jersey, 07866, USA",40.9237098,-74.5107121,Morris County
"Brass Castle, New Jersey","$32,393 ","Brass Castle, Warren County, New Jersey, 07882, USA",40.7648213,-75.0110055,Warren County
"Mount Arlington, New Jersey","$32,222 ","Mount Arlington, Morris County, New Jersey, 07856, USA",40.9259319,-74.6348829,Morris County
"Parsippany-Troy Hills Township, New Jersey","$32,220 ","Parsippany-Troy Hills, Morris County, New Jersey, USA",40.8646542,-74.4157768,Morris County
"Succasunna-Kenvil, New Jersey","$31,923 ","Succasunna-Kenvil, Unneberg Avenue, Roxbury Township, Morris County, New Jersey, 07876, USA",40.8583235,-74.6525666,Morris County
"Pequannock Township, New Jersey","$31,892 ","Pequannock Township, Morris County, New Jersey, USA",40.9627327,-74.30506993,Morris County
"Fredon Township, New Jersey","$31,430 ","Fredon, Sussex County, New Jersey, 07860, USA",41.0392638,-74.8087781,Sussex County
"Franklin Township, Somerset County, New Jersey","$31,209 ","Franklin Township, Somerset County, New Jersey, USA",40.4644745,-74.5420888,Somerset County
"Riverdale, New Jersey","$31,187 ","Riverdale, Morris County, New Jersey, 07457, USA",40.9939865,-74.3034824,Morris County
"Califon, New Jersey","$31,064 ","Califon, Hunterdon County, New Jersey, USA",40.7195448,-74.8357215,Hunterdon County
"Lebanon Township, New Jersey","$30,793 ","Lebanon Township, Hunterdon County, New Jersey, 08826, USA",40.729147,-74.897122,Hunterdon County
"Byram Township, New Jersey","$30,710 ","Byram, Hunterdon County, New Jersey, 18950, USA",40.4237156,-75.059615,Hunterdon County
"Millstone, New Jersey","$30,694 ","Millstone, Somerset County, New Jersey, USA",40.4992707,-74.5887679,Somerset County
"Lafayette Township, New Jersey","$30,491 ","Lafayette, Sussex County, New Jersey, 07848, USA",41.0984301,-74.6884965,Sussex County
"Lincoln Park, New Jersey","$30,389 ","Lincoln Park, Morris County, New Jersey, 07035, USA",40.9242652,-74.3020933,Morris County
"Kingwood Township, New Jersey","$30,219 ","Kingwood Township, Hunterdon County, New Jersey, 08825, USA",40.48650505,-75.01629063,Hunterdon County
"Annandale, New Jersey","$30,176 ","Annandale, Hunterdon County, New Jersey, 08801, USA",40.6409348,-74.881278,Hunterdon County
"Roxbury Township, New Jersey","$30,174 ","Roxbury Township, Morris County, New Jersey, USA",40.8829709,-74.65494077,Morris County
"Morristown, New Jersey","$30,086 ","Morristown, Morris County, New Jersey, 07960, USA",40.7970384,-74.4809492,Morris County
"Hardwick Township, New Jersey","$30,038 ","Hardwick, Warren County, New Jersey, USA",41.054541,-74.9321157,Warren County
"Boonton, New Jersey","$29,919 ","Boonton, Morris County, New Jersey, 07005, USA",40.9025989,-74.4070971,Morris County
"Union Township, Hunterdon County, New Jersey","$29,535 ","Union Township, Hunterdon County, New Jersey, USA",40.6319365,-74.98557079,Hunterdon County
"Beattystown, New Jersey","$29,345 ","Beattystown, Warren County, New Jersey, 07870, USA",40.8131549,-74.8429446,Warren County
"High Bridge, New Jersey","$29,276 ","High Bridge, Hunterdon County, New Jersey, 08829, USA",40.6670454,-74.8957231,Hunterdon County
"Andover Township, New Jersey","$29,180 ","Andover Township, 625, Limecrest Road, Andover, Sussex County, New Jersey, 07860, USA",41.029043,-74.71794774,Sussex County
"Washington Township, Warren County, New Jersey","$29,141 ","Washington, Warren County, New Jersey, 07882, USA",40.7584326,-74.9793378,Warren County
"Frelinghuysen Township, New Jersey","$28,792 ","Frelinghuysen Way, Franklin Township, Somerset County, New Jersey, 08890, United States of America",40.5350279,-74.5682325,Somerset County
